HSN Code,Product Name,Vendor Name,Phone,Address,
N1001,Smart Watch,Tech99,9812xxxxxx,"Faridabad, 121101",
N1002,Laptop HP xyz i5,Tech99,9812xxxxxx,"Faridabad, 121102",
N1003,Wireless Printer,Tech99,9812xxxxxx,"Faridabad, 121103",
N1004,Desktop,GG Traders,9813xxxxxx,"Gurgaon, Sec-15",
N1005,Mouse,GG Traders,9813xxxxxx,"Gurgaon, Sec-16",
N1006,Rgb Keyboard,GG Traders,9813xxxxxx,"Gurgaon, Sec-17",
N1007,Camera,GG Traders,9813xxxxxx,"Gurgaon, Sec-18",
N1008,Headphones,Compac,9814xxxxxx,"New Delhi, 110012",
N1009,Speakers,Compac,9814xxxxxx,"New Delhi, 110013",
N1010,Tablets,Compac,9814xxxxxx,"New Delhi, 110014",
